Wähle das Verfahren (n = 5000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog, (4) Verlet Verfahren: 
Verfahren: Verlet
0 0 1
6.55 0.273323 0.964608 0.502587
6.56 0.282928 0.961923 0.502672
6.57 0.292506 0.959142 0.502757
6.58 0.302054 0.956265 0.50284
6.59 0.311571 0.953292 0.502921
6.6 0.321058 0.950224 0.503002
6.61 0.330513 0.947061 0.503081
6.62 0.339934 0.943803 0.50316
6.63 0.349322 0.940451 0.503237
6.64 0.358674 0.937005 0.503312
6.65 0.367991 0.933465 0.503387
6.66 0.377271 0.929831 0.50346
6.67 0.386513 0.926105 0.503531
6.68 0.395717 0.922286 0.503602
6.69 0.404881 0.918375 0.50367
6.7 0.414004 0.914372 0.503738
6.71 0.423086 0.910277 0.503803
